

   TLevel      Time           dt       Iter    ItCum
    287  0.30900000E+01  0.100000E-01    5     1369
    288  0.31000000E+01  0.100000E-01    4     1373
    289  0.31100000E+01  0.100000E-01    5     1378
    290  0.31200000E+01  0.100000E-01    5     1383
    291  0.31300000E+01  0.100000E-01    6     1389
    292  0.31400000E+01  0.100000E-01    5     1394
    293  0.31500000E+01  0.100000E-01    4     1398
    294  0.31600000E+01  0.100000E-01    4     1402
    295  0.31700000E+01  0.100000E-01    4     1406
    296  0.31800000E+01  0.100000E-01    4     1410
    297  0.31900000E+01  0.100000E-01    4     1414
    298  0.32000000E+01  0.100000E-01    4     1418
    299  0.32100000E+01  0.100000E-01    4     1422
    300  0.32200000E+01  0.100000E-01    5     1427
    301  0.32300000E+01  0.100000E-01    7     1434
    302  0.32400000E+01  0.100000E-01    4     1438
    303  0.32500000E+01  0.100000E-01    5     1443
    304  0.32600000E+01  0.100000E-01    6     1449
    305  0.32700000E+01  0.100000E-01    6     1455
    306  0.32800000E+01  0.100000E-01    4     1459
    307  0.32900000E+01  0.100000E-01    4     1463
    308  0.33000000E+01  0.100000E-01    4     1467
    309  0.33100000E+01  0.100000E-01    5     1472
    310  0.33200000E+01  0.100000E-01    6     1478
    311  0.33300000E+01  0.100000E-01    6     1484
    312  0.33400000E+01  0.100000E-01    4     1488
    313  0.33500000E+01  0.100000E-01    4     1492
    314  0.33600000E+01  0.100000E-01    5     1497
    315  0.33700000E+01  0.100000E-01    5     1502
    316  0.33800000E+01  0.100000E-01    4     1506
    317  0.33900000E+01  0.100000E-01    4     1510
    318  0.34000000E+01  0.100000E-01    4     1514
    319  0.34100000E+01  0.100000E-01    4     1518
    320  0.34200000E+01  0.100000E-01    4     1522
    321  0.34300000E+01  0.100000E-01    5     1527
    322  0.34400000E+01  0.100000E-01    6     1533
    323  0.34500000E+01  0.100000E-01    5     1538
    324  0.34600000E+01  0.100000E-01    4     1542
    325  0.34700000E+01  0.100000E-01    4     1546
    326  0.34800000E+01  0.100000E-01    4     1550
    327  0.34900000E+01  0.100000E-01    4     1554
    328  0.35000000E+01  0.100000E-01    4     1558
    329  0.35100000E+01  0.100000E-01    4     1562
    330  0.35200000E+01  0.100000E-01    4     1566
    331  0.35300000E+01  0.100000E-01    4     1570
    332  0.35400000E+01  0.100000E-01    4     1574
    333  0.35500000E+01  0.100000E-01    4     1578
    334  0.35600000E+01  0.100000E-01    5     1583
    335  0.35700000E+01  0.100000E-01    6     1589
    336  0.35800000E+01  0.100000E-01    4     1593
    337  0.35900000E+01  0.100000E-01    4     1597
    338  0.36000000E+01  0.100000E-01    4     1601
    339  0.36100000E+01  0.100000E-01    4     1605
    340  0.36200000E+01  0.100000E-01    4     1609
    341  0.36300000E+01  0.100000E-01    4     1613
    342  0.36400000E+01  0.100000E-01    4     1617
    343  0.36500000E+01  0.100000E-01    5     1622
    344  0.36600000E+01  0.100000E-01    5     1627
    345  0.36700000E+01  0.100000E-01    4     1631
    346  0.36800000E+01  0.100000E-01    4     1635
    347  0.36900000E+01  0.100000E-01    4     1639
    348  0.37000000E+01  0.100000E-01    5     1644
    349  0.37100000E+01  0.100000E-01    6     1650
    350  0.37200000E+01  0.100000E-01    4     1654
    351  0.37300000E+01  0.100000E-01    4     1658
    352  0.37400000E+01  0.100000E-01    4     1662
    353  0.37500000E+01  0.100000E-01    4     1666
    354  0.37600000E+01  0.100000E-01    4     1670
    355  0.37700000E+01  0.100000E-01    4     1674
    356  0.37800000E+01  0.100000E-01    4     1678
    357  0.37900000E+01  0.100000E-01    4     1682
    358  0.38000000E+01  0.100000E-01    4     1686
    359  0.38100000E+01  0.100000E-01    5     1691
    360  0.38200000E+01  0.100000E-01    5     1696
    361  0.38300000E+01  0.100000E-01    4     1700
    362  0.38400000E+01  0.100000E-01    4     1704
    363  0.38500000E+01  0.100000E-01    5     1709
    364  0.38600000E+01  0.100000E-01    5     1714
    365  0.38700000E+01  0.100000E-01    5     1719
    366  0.38800000E+01  0.100000E-01    5     1724
    367  0.38900000E+01  0.100000E-01    6     1730
    368  0.39000000E+01  0.100000E-01    5     1735
    369  0.39100000E+01  0.100000E-01    7     1742
    370  0.39200000E+01  0.100000E-01    4     1746
    371  0.39300000E+01  0.100000E-01    4     1750
    372  0.39400000E+01  0.100000E-01    5     1755
    373  0.39500000E+01  0.100000E-01    5     1760
    374  0.39600000E+01  0.100000E-01    5     1765
    375  0.39700000E+01  0.100000E-01    5     1770
    376  0.39800000E+01  0.100000E-01    5     1775
    377  0.39900000E+01  0.100000E-01    6     1781
    378  0.40000000E+01  0.100000E-01    4     1785
    379  0.40100000E+01  0.100000E-01    4     1789
    380  0.40200000E+01  0.100000E-01    4     1793
    381  0.40300000E+01  0.100000E-01    4     1797
    382  0.40400000E+01  0.100000E-01    4     1801
    383  0.40500000E+01  0.100000E-01    4     1805
    384  0.40600000E+01  0.100000E-01    4     1809
    385  0.40700000E+01  0.100000E-01    4     1813
    386  0.40800000E+01  0.100000E-01    4     1817
    387  0.40900000E+01  0.100000E-01    4     1821
    388  0.41000000E+01  0.100000E-01    4     1825
    389  0.41100000E+01  0.100000E-01    5     1830
    390  0.41200000E+01  0.100000E-01    6     1836
    391  0.41300000E+01  0.100000E-01    4     1840
    392  0.41400000E+01  0.100000E-01    4     1844
    393  0.41500000E+01  0.100000E-01    5     1849
    394  0.41600000E+01  0.100000E-01    5     1854
    395  0.41700000E+01  0.100000E-01    5     1859
    396  0.41800000E+01  0.100000E-01    8     1867
    397  0.41900000E+01  0.100000E-01    4     1871
    398  0.42000000E+01  0.100000E-01    4     1875
    399  0.42100000E+01  0.100000E-01    4     1879
    400  0.42200000E+01  0.100000E-01    4     1883
    401  0.42300000E+01  0.100000E-01    5     1888
    402  0.42400000E+01  0.100000E-01    5     1893
    403  0.42500000E+01  0.100000E-01    4     1897
    404  0.42600000E+01  0.100000E-01    5     1902
    405  0.42700000E+01  0.100000E-01    5     1907
    406  0.42800000E+01  0.100000E-01    5     1912
    407  0.42900000E+01  0.100000E-01    5     1917
    408  0.43000000E+01  0.100000E-01    5     1922
    409  0.43100000E+01  0.100000E-01    5     1927
    410  0.43200000E+01  0.100000E-01    4     1931
    411  0.43300000E+01  0.100000E-01    5     1936
    412  0.43400000E+01  0.100000E-01    4     1940
    413  0.43500000E+01  0.100000E-01    4     1944
    414  0.43600000E+01  0.100000E-01    5     1949
    415  0.43700000E+01  0.100000E-01    5     1954
    416  0.43800000E+01  0.100000E-01    4     1958
    417  0.43900000E+01  0.100000E-01    4     1962
    418  0.44000000E+01  0.100000E-01    4     1966
    419  0.44100000E+01  0.100000E-01    4     1970
    420  0.44200000E+01  0.100000E-01    4     1974
    421  0.44300000E+01  0.100000E-01    4     1978
    422  0.44400000E+01  0.100000E-01    5     1983
    423  0.44500000E+01  0.100000E-01    5     1988
    424  0.44600000E+01  0.100000E-01    6     1994
    425  0.44700000E+01  0.100000E-01    6     2000
    426  0.44800000E+01  0.100000E-01    5     2005
    427  0.44900000E+01  0.100000E-01    6     2011
    428  0.45000000E+01  0.100000E-01    4     2015
    429  0.45100000E+01  0.100000E-01    4     2019
    430  0.45200000E+01  0.100000E-01    4     2023
    431  0.45300000E+01  0.100000E-01    4     2027
    432  0.45400000E+01  0.100000E-01    4     2031
    433  0.45500000E+01  0.100000E-01    4     2035
    434  0.45600000E+01  0.100000E-01    4     2039
    435  0.45700000E+01  0.100000E-01    4     2043
    436  0.45800000E+01  0.100000E-01    5     2048
    437  0.45900000E+01  0.100000E-01    5     2053
    438  0.46000000E+01  0.100000E-01    4     2057
    439  0.46100000E+01  0.100000E-01    5     2062
    440  0.46200000E+01  0.100000E-01    6     2068
    441  0.46300000E+01  0.100000E-01    4     2072
    442  0.46400000E+01  0.100000E-01    5     2077
    443  0.46500000E+01  0.100000E-01    5     2082
    444  0.46600000E+01  0.100000E-01    5     2087
    445  0.46700000E+01  0.100000E-01    7     2094
    446  0.46800000E+01  0.100000E-01    6     2100
    447  0.46900000E+01  0.100000E-01    4     2104
    448  0.47000000E+01  0.100000E-01    4     2108
    449  0.47100000E+01  0.100000E-01    4     2112
    450  0.47200000E+01  0.100000E-01    4     2116
    451  0.47300000E+01  0.100000E-01    4     2120
    452  0.47400000E+01  0.100000E-01    4     2124
    453  0.47500000E+01  0.100000E-01    4     2128
    454  0.47600000E+01  0.100000E-01    5     2133
    455  0.47700000E+01  0.100000E-01    5     2138
    456  0.47800000E+01  0.100000E-01    4     2142
    457  0.47900000E+01  0.100000E-01    4     2146
    458  0.48000000E+01  0.100000E-01    4     2150
    459  0.48100000E+01  0.100000E-01    5     2155
    460  0.48200000E+01  0.100000E-01    5     2160
    461  0.48300000E+01  0.100000E-01    5     2165
    462  0.48400000E+01  0.100000E-01    5     2170
    463  0.48500000E+01  0.100000E-01    5     2175
    464  0.48600000E+01  0.100000E-01    4     2179
    465  0.48700000E+01  0.100000E-01    5     2184
    466  0.48800000E+01  0.100000E-01    5     2189
    467  0.48900000E+01  0.100000E-01    6     2195
    468  0.49000000E+01  0.100000E-01    5     2200
    469  0.49100000E+01  0.100000E-01    4     2204
    470  0.49200000E+01  0.100000E-01    4     2208
    471  0.49300000E+01  0.100000E-01    5     2213
    472  0.49400000E+01  0.100000E-01    6     2219
    473  0.49500000E+01  0.100000E-01    4     2223
    474  0.49600000E+01  0.100000E-01    4     2227
    475  0.49700000E+01  0.100000E-01    4     2231
    476  0.49800000E+01  0.100000E-01    4     2235
    477  0.49900000E+01  0.100000E-01    4     2239
    478  0.50000000E+01  0.100000E-01    5     2244
    479  0.50100000E+01  0.100000E-01    5     2249
    480  0.50200000E+01  0.100000E-01    5     2254
    481  0.50300000E+01  0.100000E-01    5     2259
    482  0.50400000E+01  0.100000E-01    5     2264
    483  0.50500000E+01  0.100000E-01    4     2268
    484  0.50600000E+01  0.100000E-01    4     2272
    485  0.50700000E+01  0.100000E-01    4     2276
    486  0.50800000E+01  0.100000E-01    5     2281
    487  0.50900000E+01  0.100000E-01    5     2286
    488  0.51000000E+01  0.100000E-01    5     2291
    489  0.51100000E+01  0.100000E-01    4     2295
    490  0.51200000E+01  0.100000E-01    5     2300
    491  0.51300000E+01  0.100000E-01    6     2306
    492  0.51400000E+01  0.100000E-01    4     2310
    493  0.51500000E+01  0.100000E-01    4     2314
    494  0.51600000E+01  0.100000E-01    4     2318
    495  0.51700000E+01  0.100000E-01    4     2322
    496  0.51800000E+01  0.100000E-01    4     2326
    497  0.51900000E+01  0.100000E-01    4     2330
    498  0.52000000E+01  0.100000E-01    4     2334
    499  0.52100000E+01  0.100000E-01    5     2339
    500  0.52200000E+01  0.100000E-01    5     2344
    501  0.52300000E+01  0.100000E-01    5     2349
    502  0.52400000E+01  0.100000E-01    5     2354
