 FileVersion=0003


       Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
       [T]          [L]         [L]        [L]        [L]        [L]        [L]        [L]       [L]        [L]        [L]

       13.6500        0.0        0.0        0.0    11214.4        0.0        0.0        0.0        0.0        0.0        0.0
       13.6600        0.0        0.0        0.0    11216.1        0.0        0.0        0.0        0.0        0.0        0.0
       13.6700        0.0        0.0        0.0    11217.5        0.0        0.0        0.0        0.0        0.0        0.0
       13.6800        0.0        0.0        0.0    11218.3        0.0        0.0        0.0        0.0        0.0        0.0
       13.6900        0.0        0.0        0.0    11218.6        0.0        0.0        0.0        0.0        0.0        0.0
       13.7000        0.0        0.0        0.0    11218.1        0.0        0.0        0.0        0.0        0.0        0.0
       13.7100        0.0        0.0        0.0    11216.7        0.0        0.0        0.0        0.0        0.0        0.0
       13.7200        0.0        0.0        0.0    11214.3        0.0        0.0        0.0        0.0        0.0        0.0
       13.7300        0.0        0.0        0.0    11210.4        0.0        0.0        0.0        0.0        0.0        0.0
       13.7400        0.0        0.0        0.0    11203.8        0.0        0.0        0.0        0.0        0.0        0.0
       13.7500        0.0        0.0        0.0    11206.5        0.0        0.0        0.0        0.0        0.0        0.0
       13.7600        0.0        0.0        0.0    11178.9        0.0        0.0        0.0        0.0        0.0        0.0
       13.7700        0.0        0.0        0.0    11234.2        0.0        0.0        0.0        0.0        0.0        0.0
       13.7800        0.0        0.0        0.0    11226.0        0.0        0.0        0.0        0.0        0.0        0.0
       13.7900        0.0        0.0        0.0    11238.6        0.0        0.0        0.0        0.0        0.0        0.0
       13.8000        0.0        0.0        0.0    11246.6        0.0        0.0        0.0        0.0        0.0        0.0
       13.8100        0.0        0.0        0.0    11319.4        0.0        0.0        0.0        0.0        0.0        0.0
       13.8200        0.0        0.0        0.0    11341.3        0.0        0.0        0.0        0.0        0.0        0.0
       13.8300        0.0        0.0        0.0    11371.7        0.0        0.0        0.0        0.0        0.0        0.0
       13.8400        0.0        0.0        0.0    11375.3        0.0        0.0        0.0        0.0        0.0        0.0
       13.8500        0.0        0.0        0.0    11378.3        0.0        0.0        0.0        0.0        0.0        0.0
       13.8600        0.0        0.0        0.0    11380.8        0.0        0.0        0.0        0.0        0.0        0.0
       13.8700        0.0        0.0        0.0    11383.0        0.0        0.0        0.0        0.0        0.0        0.0
       13.8800        0.0        0.0        0.0    11384.6        0.0        0.0        0.0        0.0        0.0        0.0
       13.8900        0.0        0.0        0.0    11385.8        0.0        0.0        0.0        0.0        0.0        0.0
       13.9000        0.0        0.0        0.0    11386.2        0.0        0.0        0.0        0.0        0.0        0.0
       13.9100        0.0        0.0        0.0    11386.2        0.0        0.0        0.0        0.0        0.0        0.0
       13.9200        0.0        0.0        0.0    11385.5        0.0        0.0        0.0        0.0        0.0        0.0
       13.9300        0.0        0.0        0.0    11383.9        0.0        0.0        0.0        0.0        0.0        0.0
       13.9400        0.0        0.0        0.0    11381.5        0.0        0.0        0.0        0.0        0.0        0.0
       13.9500        0.0        0.0        0.0    11377.4        0.0        0.0        0.0        0.0        0.0        0.0
       13.9600        0.0        0.0        0.0    11371.4        0.0        0.0        0.0        0.0        0.0        0.0
       13.9700        0.0        0.0        0.0    11360.4        0.0        0.0        0.0        0.0        0.0        0.0
       13.9800        0.0        0.0        0.0    11352.8        0.0        0.0        0.0        0.0        0.0        0.0
       13.9900        0.0        0.0        0.0    11434.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.0000        0.0        0.0        0.0    11433.1        0.0        0.0        0.0        0.0        0.0        0.0
       14.0100        0.0        0.0        0.0    11430.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.0200        0.0        0.0        0.0    11425.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.0300        0.0        0.0        0.0    11417.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.0400        0.0        0.0        0.0    11416.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.0500        0.0        0.0        0.0    11457.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.0600        0.0        0.0        0.0    11456.2        0.0        0.0        0.0        0.0        0.0        0.0
       14.0700        0.0        0.0        0.0    11453.4        0.0        0.0        0.0        0.0        0.0        0.0
       14.0800        0.0        0.0        0.0    11449.7        0.0        0.0        0.0        0.0        0.0        0.0
       14.0900        0.0        0.0        0.0    11444.7        0.0        0.0        0.0        0.0        0.0        0.0
       14.1000        0.0        0.0        0.0    11437.5        0.0        0.0        0.0        0.0        0.0        0.0
       14.1100        0.0        0.0        0.0    11426.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.1200        0.0        0.0        0.0    11407.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.1300        0.0        0.0        0.0    11426.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.1400        0.0        0.0        0.0    11504.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.1500        0.0        0.0        0.0    11500.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.1600        0.0        0.0        0.0    11525.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.1700        0.0        0.0        0.0    11526.0        0.0        0.0        0.0        0.0        0.0        0.0
       14.1800        0.0        0.0        0.0    11526.4        0.0        0.0        0.0        0.0        0.0        0.0
       14.1900        0.0        0.0        0.0    11526.1        0.0        0.0        0.0        0.0        0.0        0.0
       14.2000        0.0        0.0        0.0    11525.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.2100        0.0        0.0        0.0    11523.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.2200        0.0        0.0        0.0    11521.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.2300        0.0        0.0        0.0    11517.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.2400        0.0        0.0        0.0    11512.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.2500        0.0        0.0        0.0    11504.4        0.0        0.0        0.0        0.0        0.0        0.0
       14.2600        0.0        0.0        0.0    11477.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.2700        0.0        0.0        0.0    11551.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.2800        0.0        0.0        0.0    11548.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.2900        0.0        0.0        0.0    11544.1        0.0        0.0        0.0        0.0        0.0        0.0
       14.3000        0.0        0.0        0.0    11537.5        0.0        0.0        0.0        0.0        0.0        0.0
       14.3100        0.0        0.0        0.0    11527.1        0.0        0.0        0.0        0.0        0.0        0.0
       14.3200        0.0        0.0        0.0    11510.4        0.0        0.0        0.0        0.0        0.0        0.0
       14.3300        0.0        0.0        0.0    11571.7        0.0        0.0        0.0        0.0        0.0        0.0
       14.3400        0.0        0.0        0.0    11613.1        0.0        0.0        0.0        0.0        0.0        0.0
       14.3500        0.0        0.0        0.0    11646.5        0.0        0.0        0.0        0.0        0.0        0.0
       14.3600        0.0        0.0        0.0    11647.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.3700        0.0        0.0        0.0    11648.2        0.0        0.0        0.0        0.0        0.0        0.0
       14.3800        0.0        0.0        0.0    11648.2        0.0        0.0        0.0        0.0        0.0        0.0
       14.3900        0.0        0.0        0.0    11647.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.4000        0.0        0.0        0.0    11646.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.4100        0.0        0.0        0.0    11644.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.4200        0.0        0.0        0.0    11641.1        0.0        0.0        0.0        0.0        0.0        0.0
       14.4300        0.0        0.0        0.0    11636.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.4400        0.0        0.0        0.0    11630.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.4500        0.0        0.0        0.0    11620.1        0.0        0.0        0.0        0.0        0.0        0.0
       14.4600        0.0        0.0        0.0    11603.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.4700        0.0        0.0        0.0    11654.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.4800        0.0        0.0        0.0    11667.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.4900        0.0        0.0        0.0    11674.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.5000        0.0        0.0        0.0    11672.0        0.0        0.0        0.0        0.0        0.0        0.0
       14.5100        0.0        0.0        0.0    11668.2        0.0        0.0        0.0        0.0        0.0        0.0
       14.5200        0.0        0.0        0.0    11663.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.5300        0.0        0.0        0.0    11655.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.5400        0.0        0.0        0.0    11641.3        0.0        0.0        0.0        0.0        0.0        0.0
       14.5500        0.0        0.0        0.0    11689.2        0.0        0.0        0.0        0.0        0.0        0.0
       14.5600        0.0        0.0        0.0    11681.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.5700        0.0        0.0        0.0    11670.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.5800        0.0        0.0        0.0    11648.7        0.0        0.0        0.0        0.0        0.0        0.0
       14.5900        0.0        0.0        0.0    11675.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.6000        0.0        0.0        0.0    11652.4        0.0        0.0        0.0        0.0        0.0        0.0
       14.6100        0.0        0.0        0.0    11705.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.6200        0.0        0.0        0.0    11732.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.6300        0.0        0.0        0.0    11709.5        0.0        0.0        0.0        0.0        0.0        0.0
       14.6400        0.0        0.0        0.0    11760.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.6500        0.0        0.0        0.0    11755.0        0.0        0.0        0.0        0.0        0.0        0.0
       14.6600        0.0        0.0        0.0    11749.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.6700        0.0        0.0        0.0    11789.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.6800        0.0        0.0        0.0    11784.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.6900        0.0        0.0        0.0    11774.7        0.0        0.0        0.0        0.0        0.0        0.0
       14.7000        0.0        0.0        0.0    11792.2        0.0        0.0        0.0        0.0        0.0        0.0
       14.7100        0.0        0.0        0.0    11797.0        0.0        0.0        0.0        0.0        0.0        0.0
       14.7200        0.0        0.0        0.0    11781.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.7300        0.0        0.0        0.0    11809.7        0.0        0.0        0.0        0.0        0.0        0.0
       14.7400        0.0        0.0        0.0    11807.0        0.0        0.0        0.0        0.0        0.0        0.0
       14.7500        0.0        0.0        0.0    11795.7        0.0        0.0        0.0        0.0        0.0        0.0
       14.7600        0.0        0.0        0.0    11852.6        0.0        0.0        0.0        0.0        0.0        0.0
       14.7700        0.0        0.0        0.0    11877.5        0.0        0.0        0.0        0.0        0.0        0.0
       14.7800        0.0        0.0        0.0    11931.9        0.0        0.0        0.0        0.0        0.0        0.0
       14.7900        0.0        0.0        0.0    11976.2        0.0        0.0        0.0        0.0        0.0        0.0
       14.8000        0.0        0.0        0.0    11980.8        0.0        0.0        0.0        0.0        0.0        0.0
       14.8100        0.0        0.0        0.0    11985.0        0.0        0.0        0.0        0.0        0.0        0.0
